"course_id","date","time_in","time_out","task","rate_ph"
1,"2024-02-29","10:00","11:00","Teaching",40
1,"2024-04-05","09:30","10:45","Teaching",40
1,"2024-02-27","11:15","12:30","Teaching",40
1,"2024-02-11","09:45","11:00","Teaching",40
1,"2024-02-09","08:30","10:45","Teaching",40
1,"2024-01-18","10:00","12:30","Teaching",40
1,"2024-01-23","09:30","11:00","Teaching",40
1,"2024-03-11","11:15","10:45","Teaching",40
1,"2024-04-17","09:45","12:30","Teaching",40
2,"2024-04-22","08:30","11:00","Teaching",40
2,"2024-04-15","10:00","10:45","Teaching",40
2,"2024-02-26","09:30","12:30","Teaching",40
2,"2024-02-01","11:15","11:00","Teaching",40
2,"2024-01-08","09:45","10:45","Teaching",40
2,"2024-04-23","08:30","12:30","Teaching",40
2,"2024-01-20","10:00","11:00","Meeting",40
2,"2024-02-19","09:30","10:45","Meeting",40
2,"2024-02-20","11:15","12:30","Meeting",40
3,"2024-04-04","09:45","11:00","Meeting",40
3,"2024-01-29","08:30","10:45","Meeting",40
3,"2024-04-08","10:00","12:30","Meeting",40
3,"2024-04-12","09:30","11:00","Meeting",40
3,"2024-02-03","11:15","10:45","Meeting",40
3,"2024-01-24","09:45","12:30","Meeting",40
3,"2024-01-12","08:30","11:00","Meeting",40
3,"2024-03-22","10:00","10:45","Meeting",40
3,"2024-02-06","09:30","12:30","Meeting",40
4,"2024-02-08","11:15","11:00","Meeting",40
4,"2024-01-13","09:45","10:45","Meeting",40
4,"2024-01-26","08:30","12:30","Meeting",40
4,"2024-04-18","10:00","11:00","Grading",40
4,"2024-02-28","09:30","10:45","Grading",40
4,"2024-01-04","11:15","12:30","Grading",40
4,"2024-04-10","09:45","11:00","Grading",40
4,"2024-04-03","08:30","10:45","Grading",40
4,"2024-01-02","10:00","12:30","Grading",40
5,"2024-01-11","09:30","11:00","Grading",40
5,"2024-01-14","11:15","10:45","Grading",40
5,"2024-03-20","09:45","12:30","Grading",40
5,"2024-01-19","08:30","11:00","Grading",40
5,"2024-04-26","10:00","10:45","Grading",40
5,"2024-03-21","09:30","12:30","Grading",40
5,"2024-04-06","11:15","11:00","Grading",40
5,"2024-02-17","09:45","10:45","Grading",40
5,"2024-03-02","08:30","12:30","Grading",40
